id,area,name,subtitle,otoshi,happyhour,set,budget,persons,smoke,tags,visitDate,updateDate,img,url
017,大阪/梅田,美旬彩鈴音 リンクス梅田店,終日ハイボール55円、レモンサワー88円が魅力なリンクス梅田地下の飲食店,あり,なし,なし,2000円,1～4人,禁煙,昼飲み ハイボールが安い レモンサワーが安い 1次会向け 女子会向け 一人飲みOK 刺身 カウンター席あり テーブル席あり,2026/05/03,2026/07/04,thumb017.jpg,shops/017.html
016,大阪/梅田,竹乃屋 リンクス梅田店,あのぐるぐるとりかわが梅田に、立ち飲み割とハッピーアワーもあるヨドバシ地下の博多居酒屋,お通し選択制,毎日あり,なし,2000円,1～4人,禁煙,お通し選択制 立ち飲み 昼飲み ハッピーアワー ハイボールが安い レモンサワーが安い 0次会向け 1次会向け 女子会向け 一人飲みOK 焼鳥 刺身 ラーメン〆 テーブル席あり,2026/05/02,2026/07/04,thumb016.jpg,shops/016.html
015,大阪/梅田,大衆酒場スタンドマルカツ 第3ビル店,毎日19時までハイボール110円、土日夜でも早めならハッピーアワーの恩恵を受けられる大衆酒場,なし,なし,なし,2000円,2～6人,禁煙,お通しなし 昼飲み ハッピーアワー ビールが安い ハイボールが安い 1次会向け 2次会向け 大人数OK おでん 刺身 串カツ 牡蠣 テーブル席あり,2026/05/02,2026/07/04,thumb015.jpg,shops/015.html
014,大阪/天王寺,餃子のしんちゃん あべの橋,あべの麦酒醸造処併設、レモンサワーの種類が多い餃子居酒屋,なし,なし,なし,2000円,1～4人,禁煙,お通しなし 昼飲み 深夜飲み ハイボールが安い レモンサワーが安い クラフトビール 1次会向け 2次会向け 女子会向け 一人飲みOK 餃子 煮込み カウンター席あり テーブル席あり,2026/04/29,2026/07/04,thumb014.jpg,shops/014.html
013,大阪/天王寺,グリル マルヨシ,洋食とビールのセットが1200円で楽しめる貴重な老舗,なし,なし,毎日あり,1500円,2～4人,禁煙,お通しなし 昼飲み せんべろセット 0次会向け 洋食 グリル テーブル席あり,2026/04/29,2026/07/04,thumb013.jpg,shops/013.html
012,大阪/蒲生四丁目,やきとりたづや 蒲生四丁目店,カウンター限定で生ビール含む多くのドリンクが219円、焼き鳥が旨い専門店,なし,なし,なし,1500円,1～4人,喫煙可,お通しなし 深夜飲み 飲み放題 ビールが安い ハイボールが安い レモンサワーが安い 1次会向け 2次会向け 一人飲みOK 焼鳥 唐揚げ カウンター席あり テーブル席あり,2026/04/26,2026/07/04,thumb012.jpg,shops/012.html
011,大阪/京橋,立ち呑み正屋,京橋に新しく綺麗な立ち飲み屋、集合前の0次会や解散前の駆け込みにピッタリ,なし,なし,なし,1500円,1～3人,禁煙,お通しなし 立ち飲み 0次会向け 2次会向け 一人飲みOK 刺身 焼売,2026/04/26,2026/07/04,thumb011.jpg,shops/011.html
010,大阪/京橋,しろくまストア 京橋店,シールを買えばいつでもジョッキが無料でメガにグレードアップ、メガ3杯のせんべろセット爆誕,あり,なし,毎日あり,2000円,1～4人,禁煙,せんべろセット 1次会向け 一人飲みOK 焼鳥 鳥刺 刺身 町中華,2026/04/26,2026/07/04,thumb010.jpg,shops/010.html
009,大阪/梅田,ステーキファイブと寿司六 大阪駅前第3ビル店,ステーキと寿司が同時に楽しめ、飲食どちらでも利用できる幅広い店,なし,なし,なし,2000円,1～4人,喫煙可,お通しなし 昼飲み ビールが安い 0次会向け 1次会向け 女子会向け 一人飲みOK ステーキ 寿司 カウンター席あり テーブル席あり,2026/04/26,2026/07/04,thumb009.jpg,shops/009.html
008,大阪/西中島南方,酒スタンド魚蔵 西中島3丁目店,新鮮な刺身と格安ドリンクで満足できる、駅前すぐの立ち飲み屋,なし,なし,なし,1500円,1～4人,禁煙,お通しなし 立ち飲み ハイボールが安い 日本酒 0次会向け 2次会向け 一人飲みOK 刺身,2026/04/25,2026/07/04,thumb008.jpg,shops/008.html
007,大阪/梅田,立ち呑み庶民 大阪駅前第2ビル店,実は海鮮も旨い激安立ち飲み屋,なし,なし,なし,1000円,1～2人,禁煙,お通しなし 立ち飲み 昼飲み ビールが安い ハイボールが安い 0次会向け 一人飲みOK 刺身 唐揚げ だし巻き,2026/04/25,2026/07/04,thumb007.jpg,shops/007.html
006,大阪/梅田,新世界串カツいっとく 大阪駅前第3ビル店,2パターンのせんべろセットが選べる、本格串カツ専門店,なし,毎日あり,毎日あり,1500円,1～4人,禁煙,お通しなし せんべろセット 出張向け 一人飲みOK 串カツ カウンター席あり テーブル席あり,2026/04/25,2026/06/26,thumb006.jpg,shops/006.html
005,大阪/梅田,ルーズベルトBeer食堂,京橋の激安立ち飲み屋が、座れる環境で大阪ビルに進出,なし,なし,なし,1500円,1～4人,禁煙,お通しなし ビールが安い ハイボールが安い レモンサワーが安い おつまみが安い ワンコインで飲める 0次会向け 1次会向け 2次会向け 女子会向け デート向け 一人飲みOK 刺身 おばんざい パスタ ラーメン〆 カウンター席あり テーブル席あり,2026/04/24,2026/06/26,thumb005.jpg,shops/005.html
004,大阪/梅田,梅田大衆酒場H,安い酒は日替わり、毎回店舗前を通って確認したくなる大衆酒場,なし,毎日あり,なし,1500円,1～8人,喫煙可,昼飲み ハッピーアワー ビールが安い ハイボールが安い レモンサワーが安い 0次会向け 1次会向け 2次会向け 女子会向け 一人飲みOK 大人数OK カウンター席あり テーブル席あり,2026/03/29,2026/06/26,thumb004.jpg,shops/004.html
003,大阪/梅田,焼売のジョー 大阪駅前第三ビル店,土日祝もやっているハッピーアワーはアルコール110円から、本格焼売が手軽に食べられる格安店,なし,毎日あり,なし,1500円,1～4人,禁煙,お通しなし 昼飲み ハッピーアワー ハイボールが安い レモンサワーが安い 0次会向け 1次会向け 2次会向け 一人飲みOK 焼売 カウンター席あり テーブル席あり,2026/03/26,2026/06/26,thumb003.jpg,shops/003.html
002,大阪/梅田,大衆酒場びりちゃん2,平日夕方まで限定100円60分飲み放題、必須おつまみ2品頼んでもせんべろ価格,なし,平日あり,なし,1000円,1～4人,禁煙,お通しなし 昼飲み ハッピーアワー 飲み放題 0次会向け 1次会向け 女子会向け 一人飲みOK テーブル席あり,2026/03/26,2026/06/16,thumb002.jpg,shops/002.html
001,大阪/梅田,ひねり蛇口ハイ大衆酒泉テルマエ 大阪駅前第2ビル泉,1時間438円から飲み放題、蛇口をひねれば酒を入れられる飲み放題店,あり,毎日あり,なし,2000円,2～8人,電子可,昼飲み ハッピーアワー 飲み放題 おつまみが安い 1次会向け 大人数OK 焼鳥 唐揚げ テーブル席あり,2026/02/14,2026/06/16,thumb001.jpg,shops/001.html
