id,area,name,subtitle,otoshi,happyhour,set,budget,persons,smoke,tags,visitDate,updateDate,img,url
001,大阪/梅田,ひねり蛇口ハイ大衆酒泉テルマエ 大阪駅前第2ビル泉,1時間438円から飲み放題、蛇口をひねれば酒を入れられる飲み放題店,あり,毎日あり,なし,2000円,2～8人,電子可,飲み放題 小籠包 唐揚げ 串 唐揚げ 昼飲み 1次会向け 焼鳥,2026/2/14,2026/6/16,thumb001.jpg,shops/001.html
002,大阪/梅田,大衆酒場びりちゃん2,平日夕方まで限定100円60分飲み放題、必須おつまみ2品頼んでもせんべろ価格,なし,平日あり,なし,1000円,1～4人,禁煙,お通しなし 飲み放題 0次会向け 1次会向け,2026/3/26,2026/6/16,thumb002.jpg,shops/002.html
003,大阪/梅田,焼売のジョー 大阪駅前第三ビル店,土日祝もやっているハッピーアワーはアルコール110円から、本格焼売が手軽に食べられる格安店,なし,なし,なし,1500円,1～4人,禁煙,ハッピーアワー 焼売,2026/3/26,2026/6/2,thumb003.jpg,shops/003.html
004,大阪/梅田,梅田大衆酒場H,日によって安い酒が違う,なし,なし,なし,1500円,1～8人,禁煙,お通しなし 0次会 ド・デカレモンサワー,2026/3/29,2026/6/2,thumb004.jpg,shops/004.html
005,大阪/梅田,ルーズベルトBeer食堂,京橋の激安立ち飲み屋が、座れる環境で大阪ビルに進出,なし,なし,なし,1500円,1～4人,禁煙,お通しなし ビール せんべろ パスタ,2026/4/24,2026/6/2,thumb005.jpg,shops/005.html
006,大阪/梅田,新世界串カツいっとく 大阪駅前第3ビル店,2パターンのせんべろセットで満足に酔える、串カツも満足の味,なし,なし,なし,1500円,1～4人,禁煙,お通しなし 出張 せんべろセット 串カツ,2026/4/25,2026/6/2,thumb006.jpg,shops/006.html
007,大阪/梅田,立ち呑み庶民 大阪駅前第2ビル店,実は海鮮も旨い激安立ち飲み屋,なし,なし,なし,1000円,1～2人,禁煙,お通しなし 立ち飲み だし巻き,2026/4/25,2026/6/2,thumb007.jpg,shops/007.html
008,大阪/西中島南方,酒スタンド魚蔵 西中島3丁目店,新鮮な刺身と格安ドリンクで満足できる、駅前すぐの立ち飲み屋,なし,なし,なし,1500円,1～4人,禁煙,お通しなし 立ち飲み,2026/4/25,2026/6/2,thumb008.jpg,shops/008.html
009,大阪/梅田,ステーキファイブと寿司六 大阪駅前第3ビル店,ステーキと寿司が同時に楽しめ、飲酒と食事どちらでも利用できる幅広い店,なし,なし,なし,2000円,1～4人,禁煙,お通しなし ステーキ 寿司,2026/4/26,2026/6/2,thumb009.jpg,shops/009.html
010,大阪/京橋,しろくまストア 京橋店,シールを買えばいつでもジョッキが無料でメガにグレードアップ、メガ3杯のせんべろセット爆誕,なし,なし,なし,2000円,1～4人,禁煙,せんべろセット,2026/4/26,2026/6/2,thumb010.jpg,shops/010.html
